run,launch_ordinal,kernel,metric,unit,value
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_tex_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_tex_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__f_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__f_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,%,0.17
