q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,0,AB,A,6,stage.output_alloc,1,5.368e-06,5.062e-06,0.0004556003536164891
32,10,0,AB,A,6,stage.pivot_distance,2,0.000101417,0.000100872,0.008607604519881422
32,10,0,AB,A,6,stage.pivot_sort,2,0.000208992,0.000208385,0.01773785937090486
32,10,0,AB,A,6,stage.result_sort,1,0.003562591,0.003562289,0.3023691727628393
32,10,0,AB,A,6,stage.schedule,10,0.000128859,0.000126096,0.010936700068306103
32,10,0,AB,A,6,stage.threshold,2,2.1544e-05,2.0988e-05,0.0018285122984935992
32,10,0,AB,A,7,stage.aggregate,1,2.1065e-05,2.0777e-05,0.00182692161756065
32,10,0,AB,A,7,stage.alloc_init,1,0.002119441,0.002119128,0.18381450652952108
32,10,0,AB,A,7,stage.candidates,1,9.7739e-05,9.7437e-05,0.008476690813138399
32,10,0,AB,A,7,stage.cleanup,1,0.001624818,0.001624503,0.14091692992174984
32,10,0,AB,A,7,stage.delivery,1,3.7935e-05,3.7648e-05,0.003290020012445443
32,10,0,AB,A,7,stage.leaf_distance,1,0.003508026,0.003507768,0.3042434623481992
32,10,0,AB,A,7,stage.node_plan,4,9.5556e-05,9.4391e-05,0.008287363972828173
32,10,0,AB,A,7,stage.node_prune,4,5.4338e-05,5.3187e-05,0.004712616513411374
32,10,0,AB,A,7,stage.output_alloc,1,4.839e-06,4.539e-06,0.000419675941484737
32,10,0,AB,A,7,stage.pivot_distance,2,0.000101271,0.0001007,0.008783013488344866
32,10,0,AB,A,7,stage.pivot_sort,2,0.000200626,0.000199994,0.017399856465450888
32,10,0,AB,A,7,stage.result_sort,1,0.003513362,0.003513079,0.30470624201832996
32,10,0,AB,A,7,stage.schedule,10,0.000123631,0.000120993,0.010722247638292937
32,10,0,AB,A,7,stage.threshold,2,1.9667e-05,1.9116e-05,0.0017056761192767768
32,10,0,AB,B,0,stage.aggregate,1,1.6722e-05,1.6419e-05,0.0015406733337657514
32,10,0,AB,B,0,stage.alloc_init,1,0.002123666,0.00212335,0.1956629336218741
32,10,0,AB,B,0,stage.candidates,1,9.921e-05,9.8896e-05,0.009140665078513346
32,10,0,AB,B,0,stage.cleanup,1,0.00334305,0.003342784,0.3080102851600045
32,10,0,AB,B,0,stage.delivery,1,4.0028e-05,3.9739e-05,0.0036879603040291527
32,10,0,AB,B,0,stage.leaf_distance,1,0.001290197,0.001289923,0.11887167283845063
32,10,0,AB,B,0,stage.node_plan,4,9.4477e-05,9.3343e-05,0.008704592426395581
32,10,0,AB,B,0,stage.node_prune,4,5.3237e-05,5.2101e-05,0.0049049650920755476
32,10,0,AB,B,0,stage.output_alloc,1,4.846e-06,4.546e-06,0.0004464838521366362
32,10,0,AB,B,0,stage.pivot_distance,2,0.000102861,0.000102306,0.009477048187087606
32,10,0,AB,B,0,stage.pivot_sort,2,0.000201172,0.000200549,0.018534884338017206
32,10,0,AB,B,0,stage.result_sort,1,0.003326702,0.003326427,0.3065040701342658
32,10,0,AB,B,0,stage.schedule,10,0.000125408,0.000122601,0.011554405061649047
32,10,0,AB,B,0,stage.threshold,2,2.1263e-05,2.0709e-05,0.001959056159302785
32,10,0,AB,B,1,stage.aggregate,1,1.4242e-05,1.396e-05,0.0013414181357245402
32,10,0,AB,B,1,stage.alloc_init,1,0.002114915,0.002114499,0.19919852103046384
32,10,0,AB,B,1,stage.candidates,1,9.2397e-05,9.212e-05,0.008702640885166433
32,10,0,AB,B,1,stage.cleanup,1,0.003117007,0.003116742,0.29358304444462446
32,10,0,AB,B,1,stage.delivery,1,4.2116e-05,4.1837e-05,0.003966800042422043
32,10,0,AB,B,1,stage.leaf_distance,1,0.001293381,0.001293123,0.12182030120780377
32,10,0,AB,B,1,stage.node_plan,4,9.5232e-05,9.3882e-05,0.008969662400036469
32,10,0,AB,B,1,stage.node_prune,4,5.3557e-05,5.2409e-05,0.005044399037705322
32,10,0,AB,B,1,stage.output_alloc,1,4.717e-06,4.423e-06,0.0004442823582511344
32,10,0,AB,B,1,stage.pivot_distance,2,0.00010065,0.000100109,0.009479970184010318
32,10,0,AB,B,1,stage.pivot_sort,2,0.000208467,0.00020786,0.019634982060110075
32,10,0,AB,B,1,stage.result_sort,1,0.003321181,0.003320918,0.3128136796393599
32,10,0,AB,B,1,stage.schedule,10,0.000131249,0.000128397,0.012362012982425934
32,10,0,AB,B,1,stage.threshold,2,1.8133e-05,1.7575e-05,0.0017079016328530464
32,10,0,AB,B,2,stage.aggregate,1,1.585e-05,1.5573e-05,0.0014349203854567333
32,10,0,AB,B,2,stage.alloc_init,1,0.002114101,0.002113623,0.191392215887348
32,10,0,AB,B,2,stage.candidates,1,9.592e-05,9.5632e-05,0.008683757941514818
32,10,0,AB,B,2,stage.cleanup,1,0.003543665,0.00354337,0.32081243834255746
32,10,0,AB,B,2,stage.delivery,1,4.2409e-05,4.2121e-05,0.003839339976456442
32,10,0,AB,B,2,stage.leaf_distance,1,0.001289827,0.001289496,0.11676965653075722
32,10,0,AB,B,2,stage.node_plan,4,9.4443e-05,9.3302e-05,0.008550043278466264
32,10,0,AB,B,2,stage.node_prune,4,5.5026e-05,5.3898e-05,0.004981572815781843
32,10,0,AB,B,2,stage.output_alloc,1,4.624e-06,4.347e-06,0.0004186165212840338
32,10,0,AB,B,2,stage.pivot_distance,2,0.000101833,0.000101266,0.009219069249982052
32,10,0,AB,B,2,stage.pivot_sort,2,0.000204628,0.000203729,0.01852522956689214
32,10,0,AB,B,2,stage.result_sort,1,0.003332283,0.003332009,0.30167576068207697
32,10,0,AB,B,2,stage.schedule,10,0.000123776,0.000121014,0.011205596569734551
32,10,0,AB,B,2,stage.threshold,2,1.9093e-05,1.8529e-05,0.0017285132441340954
32,10,0,AB,B,3,stage.aggregate,1,1.4827e-05,1.4553e-05,0.0013339620327792808
32,10,0,AB,B,3,stage.alloc_init,1,0.002118168,0.002117858,0.19056826674634272
32,10,0,AB,B,3,stage.candidates,1,0.000100038,9.9743e-05,0.009000262617871024
32,10,0,AB,B,3,stage.cleanup,1,0.003610941,0.003610667,0.32487072210197937
32,10,0,AB,B,3,stage.delivery,1,4.2769e-05,4.2492e-05,0.0038478601321870276
32,10,0,AB,B,3,stage.leaf_distance,1,0.001288892,0.001288581,0.1159596002126494
32,10,0,AB,B,3,stage.node_plan,4,9.4591e-05,9.3457e-05,0.008510204535147024
32,10,0,AB,B,3,stage.node_prune,4,5.3623e-05,5.2508e-05,0.004824377560108138
32,10,0,AB,B,3,stage.output_alloc,1,4.377e-06,4.08e-06,0.0003937918538797404
32,10,0,AB,B,3,stage.pivot_distance,2,0.000101444,0.000100901,0.009126758241941145
32,10,0,AB,B,3,stage.pivot_sort,2,0.000210994,0.000210318,0.01898280064370618
32,10,0,AB,B,3,stage.result_sort,1,0.003319221,0.003318999,0.2986251293183838
32,10,0,AB,B,3,stage.schedule,10,0.000126257,0.000123505,0.011359145098308062
32,10,0,AB,B,3,stage.threshold,2,2.0774e-05,2.0203e-05,0.0018690043345893827
32,10,0,AB,B,4,stage.aggregate,1,1.5794e-05,1.552e-05,0.0014107387102718376
32,10,0,AB,B,4,stage.alloc_init,1,0.002113298,0.002112987,0.18876227016209024
32,10,0,AB,B,4,stage.candidates,1,9.9479e-05,9.9208e-05,0.008885581623346342
32,10,0,AB,B,4,stage.cleanup,1,0.003695185,0.003694925,0.33005828296288714
32,10,0,AB,B,4,stage.delivery,1,4.0681e-05,4.0386e-05,0.0036336749064561614
32,10,0,AB,B,4,stage.leaf_distance,1,0.001289116,0.001288776,0.11514536173425288
32,10,0,AB,B,4,stage.node_plan,4,9.9446e-05,9.8281e-05,0.008882634024420232
32,10,0,AB,B,4,stage.node_prune,4,5.4212e-05,5.3106e-05,0.004842279787340563
32,10,0,AB,B,4,stage.output_alloc,1,5.049e-06,4.746e-06,0.0004509826356947263
32,10,0,AB,B,4,stage.pivot_distance,2,0.000100917,0.000100366,0.009014025479581043
32,10,0,AB,B,4,stage.pivot_sort,2,0.000203013,0.000202415,0.01813336062988581
32,10,0,AB,B,4,stage.result_sort,1,0.003324737,0.00332445,0.29696943063017966
32,10,0,AB,B,4,stage.schedule,10,0.000123673,0.00012096,0.01104661824208237
32,10,0,AB,B,4,stage.threshold,2,2.0225e-05,1.9585e-05,0.0018065208569866982
32,10,0,AB,B,5,stage.aggregate,1,1.6356e-05,1.609e-05,0.0015767988072783784
32,10,0,AB,B,5,stage.alloc_init,1,0.002119528,0.002119079,0.20433291895286906
32,10,0,AB,B,5,stage.candidates,1,9.7129e-05,9.6838e-05,0.009363713093185474
32,10,0,AB,B,5,stage.cleanup,1,0.003918471,0.003918198,0.377759867886703
32,10,0,AB,B,5,stage.delivery,1,4.039e-05,4.0108e-05,0.003893794560159801
32,10,0,AB,B,5,stage.leaf_distance,1,0.001292385,0.001292077,0.12459226745808677
32,10,0,AB,B,5,stage.node_plan,4,9.3951e-05,9.2694e-05,0.009057338269907735
32,10,0,AB,B,5,stage.node_prune,4,5.2818e-05,5.1714e-05,0.005091914857106223
32,10,0,AB,B,5,stage.output_alloc,1,4.369e-06,4.072e-06,0.00042119307831983585
32,10,0,AB,B,5,stage.pivot_distance,2,0.00010184,0.000101299,0.009817876652802033
32,10,0,AB,B,5,stage.pivot_sort,2,0.000203813,0.000203206,0.01964857515944168
32,10,0,AB,B,5,stage.result_sort,1,0.002282069,0.002281825,0.2200026704161752
32,10,0,AB,B,5,stage.schedule,10,0.00012186,0.000119126,0.011747903072569283
32,10,0,AB,B,5,stage.threshold,2,2.0671e-05,2.0108e-05,0.0019927860201303105
32,10,0,AB,B,6,stage.aggregate,1,1.557e-05,1.5299e-05,0.001379011533035696
32,10,0,AB,B,6,stage.alloc_init,1,0.002103259,0.002102945,0.18628249312531311
32,10,0,AB,B,6,stage.candidates,1,9.8403e-05,9.813e-05,0.008715406029885138
32,10,0,AB,B,6,stage.cleanup,1,0.003801579,0.003801309,0.33670014674028953
32,10,0,AB,B,6,stage.delivery,1,4.1759e-05,4.1432e-05,0.003698531959411537
32,10,0,AB,B,6,stage.leaf_distance,1,0.001298144,0.001297824,0.11497466586647981
32,10,0,AB,B,6,stage.node_plan,4,9.4982e-05,9.3831e-05,0.008412413194013904
