variant,function,opcode,warp_instructions,thread_instructions,predicated_thread_instructions,stall_samples
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",SEL,2466232,49324640,49324640,348
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",STG.E.64,3699348,73986960,73986960,3412
B,__cuda_sm20_div_rn_f64_full,MOV,1664,1664,1408,0
B,__cuda_sm20_div_rn_f64_full,FSETP.GEU.AND,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,LOP3.LUT,1536,1536,1280,0
B,__cuda_sm20_div_rn_f64_full,BSSY.RECONVERGENT,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,ISETP.GE.U32.AND,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,DMUL,256,256,128,0
B,__cuda_sm20_div_rn_f64_full,MUFU.RCP64H,128,128,128,1
B,__cuda_sm20_div_rn_f64_full,SEL,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,IADD,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,NOP,4352,4352,4352,0
B,__cuda_sm20_div_rn_f64_full,DFMA,1024,1024,1024,1
B,__cuda_sm20_div_rn_f64_full,ISETP.GT.U32.AND,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,ISETP.GT.U32.OR,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,BRA,640,640,256,0
B,__cuda_sm20_div_rn_f64_full,DSETP.NAN.AND,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,ISETP.NE.AND,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,MOV.64,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,ISETP.EQ.OR,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,BSYNC.RECONVERGENT,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,RET.ABS.NODEC,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,MOV,256,256,256,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,LOP3.LUT,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,BSSY.RECONVERGENT,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,BRA,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,BSYNC.RECONVERGENT,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,RET.ABS.NODEC,128,128,128,0
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDC,9864928,315677696,315677696,341
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDCU.64,13037014,417184448,417184448,106
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDC.64,32239736,970721734,970721734,1765
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IADD,59546880,1829752950,1671914102,6222
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDG.E,131603512,4150362566,4150362566,161649
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.NE.AND,40165566,1285298112,1285298112,6301
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BRA,123141778,3879583110,2572671088,10376
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",UMOV,144980554,2225642582,2225642582,7015
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MOV,149216958,4700931888,4700931888,8617
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",S2UR,28361668,128244064,128244064,1498
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IMAD.WIDE,33472852,995384054,995384054,11025
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",HFMA2,2466232,78919424,78919424,12
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IMAD,24135058,698334896,698334896,811
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IABS,7398696,236758272,236758272,183
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",I2F.RP,2466232,78919424,78919424,34
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MUFU.RCP,2466232,78919424,78919424,237
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LOP3.LUT,20435710,653942720,575023296,747
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",F2I.FTZ.U32.TRUNC.NTZ,2466232,78919424,78919424,16
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IMAD.HI.U32,4932464,157838848,157838848,221
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",S2R,2466232,78919424,78919424,16
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GT.U32.AND,3699348,87024102,87024102,123
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GE.AND,41398810,1309964528,1309964528,7545
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GE.U32.AND,18675332,597610624,597610624,550
