variant,metric,unit,value
A,l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld.sum.pct_of_peak_sustained_elapsed,%,2.07
A,l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_texture.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_texture.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_atom.sum,,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_ld.sum,,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_redas.sum,,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_st.sum,,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom.sum,,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum,,708864602
A,l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,%,10.78
A,l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red.sum,,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum,,3945973
A,l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,%,0.06
A,l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld.sum,,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st.sum,,0
A,l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom.sum,,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld.sum,,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red.sum,,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st.sum,,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_texture.sum,,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_atom.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_ld.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_redas.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_st.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,,392130888
A,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,%,5.96
A,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,,0
