variant,metric,unit,value
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum,sector,18496740
A,l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum.pct_of_peak_sustained_elapsed,%,0.28
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,%,2.07
A,l1tex__m_xbar2l1tex_read_sectors.max.pct_of_peak_sustained_elapsed,%,2.09
A,l1tex__m_xbar2l1tex_read_sectors.min.pct_of_peak_sustained_elapsed,%,2.05
A,l1tex__m_xbar2l1tex_read_sectors.sum.pct_of_peak_sustained_elapsed,%,2.07
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_atom.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_ld.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_redas.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_st.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_red.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_st.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_st.sum.pct_of_peak_sustained_elapsed,%,0
