q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,0,AB,B,4,stage.threshold,2,2.1033e-05,2.0472e-05,0.0017945425021517788
32,10,0,AB,B,5,stage.aggregate,1,1.7259e-05,1.699e-05,0.0014291240899363628
32,10,0,AB,B,5,stage.alloc_init,1,0.002096422,0.002096027,0.17359332422924678
32,10,0,AB,B,5,stage.candidates,1,0.000173518,0.000173142,0.014368083541200408
32,10,0,AB,B,5,stage.cleanup,1,0.001937226,0.00193688,0.16041116775311784
32,10,0,AB,B,5,stage.delivery,1,4.8134e-05,4.7842e-05,0.00398571521785717
32,10,0,AB,B,5,stage.leaf_distance,1,0.004199488,0.004184435,0.34773680202785084
32,10,0,AB,B,5,stage.node_plan,4,0.000136594,0.000133127,0.011310607563634485
32,10,0,AB,B,5,stage.node_prune,4,9.6604e-05,9.5424e-05,0.007999252771551793
32,10,0,AB,B,5,stage.output_alloc,1,5.71e-06,5.418e-06,0.0004728141000948278
32,10,0,AB,B,5,stage.pivot_distance,2,0.000117839,0.000117262,0.009757607835564695
32,10,0,AB,B,5,stage.pivot_sort,2,0.000221984,0.000221372,0.01838128987661125
32,10,0,AB,B,5,stage.result_sort,1,0.002822522,0.002816408,0.23371772319226855
32,10,0,AB,B,5,stage.schedule,10,0.00016739,0.000163136,0.013860657130450652
32,10,0,AB,B,5,stage.threshold,2,2.2562e-05,2.1998e-05,0.0018682367296566555
32,10,0,AB,B,6,stage.aggregate,1,1.7581e-05,1.7229e-05,0.0015092068830684432
32,10,0,AB,B,6,stage.alloc_init,1,0.002093281,0.002092836,0.1796936518626013
32,10,0,AB,B,6,stage.candidates,1,0.000152684,0.000152375,0.013106862165657367
32,10,0,AB,B,6,stage.cleanup,1,0.002023317,0.002022986,0.17368772783285327
32,10,0,AB,B,6,stage.delivery,1,4.3295e-05,4.3015e-05,0.0037165753940303875
32,10,0,AB,B,6,stage.leaf_distance,1,0.004201144,0.00420082,0.3606390672636194
32,10,0,AB,B,6,stage.node_plan,4,0.000104337,0.000103103,0.008956607619516077
32,10,0,AB,B,6,stage.node_prune,4,8.8401e-05,8.7126e-05,0.0075886125743776485
32,10,0,AB,B,6,stage.output_alloc,1,5.737e-06,5.438e-06,0.0004924816499723371
32,10,0,AB,B,6,stage.pivot_distance,2,0.000112319,0.000111723,0.009641806944961293
32,10,0,AB,B,6,stage.pivot_sort,2,0.000231444,0.000221464,0.019867861773783788
32,10,0,AB,B,6,stage.result_sort,1,0.002387914,0.002387581,0.2049858509172117
32,10,0,AB,B,6,stage.schedule,10,0.000154448,0.000151631,0.013258289328033385
32,10,0,AB,B,6,stage.threshold,2,2.1799e-05,2.1168e-05,0.0018712929209947667
32,10,0,AB,B,7,stage.aggregate,1,1.5953e-05,1.5665e-05,0.0014440593337937766
32,10,0,AB,B,7,stage.alloc_init,1,0.00210619,0.002105734,0.19065149678700646
32,10,0,AB,B,7,stage.candidates,1,0.000142332,0.000142036,0.012883837090048004
32,10,0,AB,B,7,stage.cleanup,1,0.001668964,0.001668559,0.15107396990947133
32,10,0,AB,B,7,stage.delivery,1,4.236e-05,4.206e-05,0.003834410667554966
32,10,0,AB,B,7,stage.leaf_distance,1,0.004198521,0.004198073,0.38004848230296373
32,10,0,AB,B,7,stage.node_plan,4,9.2814e-05,9.162e-05,0.00840148705614841
32,10,0,AB,B,7,stage.node_prune,4,8.1566e-05,8.044e-05,0.00738332248606677
32,10,0,AB,B,7,stage.output_alloc,1,4.928e-06,4.643e-06,0.00044608063667872695
32,10,0,AB,B,7,stage.pivot_distance,2,0.000109358,0.000108811,0.009899043479284136
32,10,0,AB,B,7,stage.pivot_sort,2,0.000206085,0.000205453,0.018654733768249887
32,10,0,AB,B,7,stage.result_sort,1,0.002224719,0.002224378,0.20138069560699284
32,10,0,AB,B,7,stage.schedule,10,0.000126045,0.000123271,0.011409544206609199
32,10,0,AB,B,7,stage.threshold,2,1.9424e-05,1.8877e-05,0.0017582528991168002
32,10,1,BA,B,0,stage.aggregate,1,1.6039e-05,1.5761e-05,0.0014744047960487902
32,10,1,BA,B,0,stage.alloc_init,1,0.002120733,0.002120297,0.19495098861144328
32,10,1,BA,B,0,stage.candidates,1,9.6154e-05,9.586e-05,0.008839074677927262
32,10,1,BA,B,0,stage.cleanup,1,0.001506448,0.001506029,0.13848208468097187
32,10,1,BA,B,0,stage.delivery,1,4.2955e-05,4.2672e-05,0.003948691191113895
32,10,1,BA,B,0,stage.leaf_distance,1,0.004196451,0.004196075,0.3857639179988616
32,10,1,BA,B,0,stage.node_plan,4,9.678e-05,9.5585e-05,0.008896620497637129
32,10,1,BA,B,0,stage.node_prune,4,5.1583e-05,5.0429e-05,0.004741830699830709
32,10,1,BA,B,0,stage.output_alloc,1,5.127e-06,4.837e-06,0.0004713057789975776
32,10,1,BA,B,0,stage.pivot_distance,2,0.000102376,0.000101826,0.009411039678302322
32,10,1,BA,B,0,stage.pivot_sort,2,0.000202853,0.000202082,0.018647511446654105
32,10,1,BA,B,0,stage.result_sort,1,0.002284218,0.002283973,0.20997954825244564
32,10,1,BA,B,0,stage.schedule,10,0.000124512,0.000121739,0.01144591869603011
32,10,1,BA,B,0,stage.threshold,2,2.109e-05,2.0531e-05,0.0019387241815991634
32,10,1,BA,B,1,stage.aggregate,1,1.639e-05,1.6106e-05,0.0015276194339289215
32,10,1,BA,B,1,stage.alloc_init,1,0.002109441,0.002109014,0.19660909495585469
32,10,1,BA,B,1,stage.candidates,1,9.7397e-05,9.7112e-05,0.009077824893616545
32,10,1,BA,B,1,stage.cleanup,1,0.001386843,0.001386387,0.1292598119956246
32,10,1,BA,B,1,stage.delivery,1,4.0818e-05,4.0537e-05,0.003804415500555871
32,10,1,BA,B,1,stage.leaf_distance,1,0.004193712,0.004193379,0.39087223621116074
32,10,1,BA,B,1,stage.node_plan,4,9.4843e-05,9.3714e-05,0.008839780962301445
32,10,1,BA,B,1,stage.node_prune,4,5.2053e-05,5.0934e-05,0.004851566467010503
32,10,1,BA,B,1,stage.output_alloc,1,5.403e-06,5.117e-06,0.00050358314835375
32,10,1,BA,B,1,stage.pivot_distance,2,0.000105297,0.000104543,0.009814139324857453
32,10,1,BA,B,1,stage.pivot_sort,2,0.000200108,0.000199545,0.018650937747690582
32,10,1,BA,B,1,stage.result_sort,1,0.00226712,0.00226685,0.21130546498163127
32,10,1,BA,B,1,stage.schedule,10,0.000129367,0.000126684,0.012057568231182599
32,10,1,BA,B,1,stage.threshold,2,2.0307e-05,1.9752e-05,0.001892700905722673
32,10,1,BA,B,2,stage.aggregate,1,1.6073e-05,1.5787e-05,0.001392843714061569
32,10,1,BA,B,2,stage.alloc_init,1,0.002115493,0.002115099,0.18332303410634296
32,10,1,BA,B,2,stage.candidates,1,9.2444e-05,9.1785e-05,0.008010952796783903
32,10,1,BA,B,2,stage.cleanup,1,0.001995163,0.001994717,0.17289555422623168
32,10,1,BA,B,2,stage.delivery,1,4.1535e-05,4.125e-05,0.00359931336175868
32,10,1,BA,B,2,stage.leaf_distance,1,0.004199645,0.004199276,0.36393013995769913
32,10,1,BA,B,2,stage.node_plan,4,8.9245e-05,8.8103e-05,0.007733735908755349
32,10,1,BA,B,2,stage.node_prune,4,4.8769e-05,4.764e-05,0.00422619268904801
32,10,1,BA,B,2,stage.output_alloc,1,4.829e-06,4.541e-06,0.00041846838145979693
32,10,1,BA,B,2,stage.pivot_distance,2,9.8361e-05,9.7773e-05,0.008523704383675106
32,10,1,BA,B,2,stage.pivot_sort,2,0.000200285,0.000199667,0.01735616893366648
32,10,1,BA,B,2,stage.result_sort,1,0.002497123,0.002496688,0.21639408161441964
32,10,1,BA,B,2,stage.schedule,10,0.000115269,0.000112592,0.00998890699161096
32,10,1,BA,B,2,stage.threshold,2,1.7023e-05,1.6466e-05,0.0014751682040981824
32,10,1,BA,B,3,stage.aggregate,1,1.6034e-05,1.576e-05,0.0014650701294733112
32,10,1,BA,B,3,stage.alloc_init,1,0.002119519,0.002119015,0.19366620779288654
32,10,1,BA,B,3,stage.candidates,1,9.7206e-05,9.693e-05,0.008881976238342441
32,10,1,BA,B,3,stage.cleanup,1,0.001577435,0.001576972,0.14413452037456237
32,10,1,BA,B,3,stage.delivery,1,3.6943e-05,3.6665e-05,0.00337558224978998
32,10,1,BA,B,3,stage.leaf_distance,1,0.004201389,0.004200992,0.3838923241984374
32,10,1,BA,B,3,stage.node_plan,4,9.6549e-05,9.5383e-05,0.008821944363884166
32,10,1,BA,B,3,stage.node_prune,4,5.0625e-05,4.9514e-05,0.004625743751065634
32,10,1,BA,B,3,stage.output_alloc,1,4.402e-06,4.109e-06,0.0004022226961420429
32,10,1,BA,B,3,stage.pivot_distance,2,0.000101852,0.000101288,0.009306493877205668
32,10,1,BA,B,3,stage.pivot_sort,2,0.000200034,0.000199434,0.01827764988643285
32,10,1,BA,B,3,stage.result_sort,1,0.002285363,0.002284933,0.20881982451687134
32,10,1,BA,B,3,stage.schedule,10,0.000128516,0.00012561,0.011742855978507674
