case,pair,order,policy,sample,wall_s,thread_cpu_s,process_cpu_s,residual_s
n65536_q32_r500,1,BD,B,3,0.181748149,0.002396558,0.003488384,1.97180000000019e-05
n65536_q32_r500,1,BD,B,4,0.181383676,0.002142449,0.003238487,1.7350999999998784e-05
n65536_q32_r500,1,BD,B,5,0.181636659,0.002245785,0.003268538,1.877399999999918e-05
n65536_q32_r500,1,BD,B,6,0.18142001,0.001990997,0.003090273,1.5063999999981315e-05
n65536_q32_r500,1,BD,B,7,0.181542872,0.00221898,0.003281098,1.752099999999257e-05
n65536_q32_r500,1,BD,D,0,0.180372094,0.177586079,0.177651982,1.0193999999991155e-05
n65536_q32_r500,1,BD,D,1,0.180391049,0.177512159,0.177578744,1.029099999999561e-05
n65536_q32_r500,1,BD,D,2,0.180302818,0.177590523,0.177657311,9.78499999998439e-06
n65536_q32_r500,1,BD,D,3,0.180478466,0.17755413,0.177597389,8.487000000001466e-06
n65536_q32_r500,1,BD,D,4,0.180343734,0.177591607,0.17764416,7.877000000017231e-06
n65536_q32_r500,1,BD,D,5,0.180099237,0.17763917,0.177704914,7.966999999997615e-06
n65536_q32_r500,1,BD,D,6,0.180026412,0.177443438,0.177504956,7.777999999986074e-06
n65536_q32_r500,1,BD,D,7,0.180534744,0.177251446,0.177315339,8.102000000009824e-06
n65536_q32_r500,2,DB,D,0,0.180248887,0.17770623,0.177768653,8.16000000000705e-06
n65536_q32_r500,2,DB,D,1,0.180479948,0.177087501,0.177150364,6.793000000004934e-06
n65536_q32_r500,2,DB,D,2,0.180314352,0.177542069,0.177607089,8.552000000022764e-06
n65536_q32_r500,2,DB,D,3,0.180454657,0.177597238,0.177644843,8.768999999991811e-06
n65536_q32_r500,2,DB,D,4,0.180522037,0.177682262,0.177739434,7.29399999999103e-06
n65536_q32_r500,2,DB,D,5,0.180454829,0.177593881,0.17766824,6.404000000015397e-06
n65536_q32_r500,2,DB,D,6,0.180940931,0.177600916,0.177668562,7.063000000001596e-06
n65536_q32_r500,2,DB,D,7,0.180798853,0.177522015,0.17758776,7.834000000012109e-06
n65536_q32_r500,2,DB,B,0,0.181582025,0.002575309,0.003616681,2.762200000000492e-05
n65536_q32_r500,2,DB,B,1,0.181346887,0.002296281,0.003321042,2.0687000000019218e-05
n65536_q32_r500,2,DB,B,2,0.181301734,0.002412227,0.003454421,2.0068000000011965e-05
n65536_q32_r500,2,DB,B,3,0.181292977,0.00239835,0.003484324,1.9049999999992684e-05
n65536_q32_r500,2,DB,B,4,0.181398315,0.00236773,0.003386223,1.8516999999995676e-05
n65536_q32_r500,2,DB,B,5,0.183177476,0.003522975,0.004541314,2.0036000000001053e-05
n65536_q32_r500,2,DB,B,6,0.181224842,0.002521764,0.003506681,1.8903999999986265e-05
n65536_q32_r500,2,DB,B,7,0.181312864,0.002420204,0.003396224,1.8828999999997986e-05
n65536_q32_r500,3,BD,B,0,0.181113446,0.00223668,0.00320949,2.275200000001476e-05
n65536_q32_r500,3,BD,B,1,0.181174377,0.002230719,0.00327135,4.7831999999997654e-05
n65536_q32_r500,3,BD,B,2,0.181581908,0.002409672,0.003430305,2.177400000000218e-05
n65536_q32_r500,3,BD,B,3,0.18186884,0.002868228,0.003835562,3.287699999998672e-05
n65536_q32_r500,3,BD,B,4,0.181652327,0.002541076,0.003550684,3.65200000000121e-05
n65536_q32_r500,3,BD,B,5,0.181305334,0.002408442,0.003408351,2.3169000000017315e-05
n65536_q32_r500,3,BD,B,6,0.181394317,0.002234181,0.003309724,1.9473999999991554e-05
n65536_q32_r500,3,BD,B,7,0.181488759,0.002379572,0.003450134,2.1074999999981525e-05
n65536_q32_r500,3,BD,D,0,0.180438361,0.177453807,0.177520103,8.441999999997396e-06
n65536_q32_r500,3,BD,D,1,0.180176115,0.177003319,0.177067971,7.227999999970258e-06
n65536_q32_r500,3,BD,D,2,0.180302442,0.177555483,0.177617717,6.4569999999875005e-06
n65536_q32_r500,3,BD,D,3,0.180031627,0.177517699,0.177548332,6.186000000019121e-06
n65536_q32_r500,3,BD,D,4,0.180394563,0.177298157,0.177360058,6.0990000000094025e-06
n65536_q32_r500,3,BD,D,5,0.180187359,0.177376481,0.177435362,6.2129999999771535e-06
n65536_q32_r500,3,BD,D,6,0.180092393,0.177077244,0.177142171,6.306999999983187e-06
n65536_q32_r500,3,BD,D,7,0.180275445,0.177550946,0.177614118,7.055000000005807e-06
n65536_q32_r500,4,DB,D,0,0.180364691,0.177215377,0.177277782,8.641000000003674e-06
n65536_q32_r500,4,DB,D,1,0.180252307,0.177584572,0.177646011,7.199999999984996e-06
n65536_q32_r500,4,DB,D,2,0.180466183,0.177386391,0.177448902,6.189000000017542e-06
n65536_q32_r500,4,DB,D,3,0.180461721,0.177193975,0.177239999,6.503999999990517e-06
n65536_q32_r500,4,DB,D,4,0.180501561,0.177521806,0.177574912,5.897000000004704e-06
n65536_q32_r500,4,DB,D,5,0.180330939,0.177394012,0.177458827,5.95200000000351e-06
n65536_q32_r500,4,DB,D,6,0.180216634,0.177364069,0.177425533,6.659999999991673e-06
n65536_q32_r500,4,DB,D,7,0.180510688,0.177687161,0.17775342,6.086000000016245e-06
n65536_q32_r500,4,DB,B,0,0.18134371,0.002387227,0.003219825,2.7281999999989592e-05
n65536_q32_r500,4,DB,B,1,0.181524038,0.002102101,0.002886069,2.0535000000015957e-05
n65536_q32_r500,4,DB,B,2,0.181098809,0.00219481,0.002944008,1.9330000000011838e-05
n65536_q32_r500,4,DB,B,3,0.180822914,0.002183277,0.003003187,1.7417999999991274e-05
n65536_q32_r500,4,DB,B,4,0.180975965,0.002194686,0.002937665,1.7370999999988257e-05
n65536_q32_r500,4,DB,B,5,0.181040883,0.002156357,0.002897691,1.814600000002442e-05
n65536_q32_r500,4,DB,B,6,0.18103887,0.002228166,0.003059155,1.750899999997113e-05
n65536_q32_r500,4,DB,B,7,0.180855909,0.002162808,0.002934442,1.7742000000015024e-05
n65536_q32_r500,5,BD,B,0,0.180984984,0.001960757,0.002783509,2.4095999999973472e-05
n65536_q32_r500,5,BD,B,1,0.181020538,0.002155876,0.002969777,1.9286000000007242e-05
n65536_q32_r500,5,BD,B,2,0.181125435,0.002232521,0.003099939,1.9050999999992158e-05
n65536_q32_r500,5,BD,B,3,0.180844303,0.002164044,0.002977257,1.805300000001786e-05
n65536_q32_r500,5,BD,B,4,0.181054332,0.002221022,0.003007179,1.8236000000004804e-05
n65536_q32_r500,5,BD,B,5,0.180915818,0.00217606,0.002900239,1.7412999999993906e-05
n65536_q32_r500,5,BD,B,6,0.180865292,0.002230218,0.002966994,1.788500000002302e-05
n65536_q32_r500,5,BD,B,7,0.18099088,0.002239225,0.00298466,1.7145999999995665e-05
n65536_q32_r500,5,BD,D,0,0.17995892,0.177474179,0.177543571,1.1835000000015583e-05
n65536_q32_r500,5,BD,D,1,0.180023329,0.177508691,0.177564443,8.143000000015999e-06
n65536_q32_r500,5,BD,D,2,0.180480425,0.177140249,0.17718761,7.597999999997551e-06
n65536_q32_r500,5,BD,D,3,0.180361325,0.177540863,0.177595555,7.474999999979026e-06
n65536_q32_r500,5,BD,D,4,0.180318483,0.17769832,0.177764344,7.097999999983173e-06
n65536_q32_r500,5,BD,D,5,0.180270068,0.177374265,0.177442198,7.999000000008527e-06
n65536_q32_r500,5,BD,D,6,0.17999503,0.177170941,0.177234392,6.844000000005845e-06
n65536_q32_r500,5,BD,D,7,0.180152956,0.177547295,0.177591765,6.638000000003252e-06
n65536_q128_r300,0,DB,D,0,0.556477804,0.553173165,0.553356647,1.1371000000037768e-05
n65536_q128_r300,0,DB,D,1,0.558499088,0.555944294,0.556144811,7.699000000083167e-06
n65536_q128_r300,0,DB,D,2,0.556454827,0.553241208,0.553441037,7.059999999947664e-06
n65536_q128_r300,0,DB,D,3,0.557394183,0.554792023,0.554944403,6.943000000037003e-06
n65536_q128_r300,0,DB,D,4,0.556943691,0.553925826,0.554181233,1.8159999999989296e-05
n65536_q128_r300,0,DB,D,5,0.55781016,0.555154314,0.555309543,1.6765000000029673e-05
n65536_q128_r300,0,DB,D,6,0.556604863,0.55307451,0.553272234,6.911999999914542e-06
n65536_q128_r300,0,DB,D,7,0.557384592,0.554749273,0.554929541,6.972999999965701e-06
n65536_q128_r300,0,DB,B,0,0.553622753,0.002132458,0.003207311,2.6507999999925147e-05
n65536_q128_r300,0,DB,B,1,0.560165434,0.002032587,0.003309906,2.0302000000027576e-05
n65536_q128_r300,0,DB,B,2,0.559083222,0.002259688,0.00366265,4.611499999995772e-05
n65536_q128_r300,0,DB,B,3,0.558940704,0.002223329,0.003530569,2.0673999999942794e-05
n65536_q128_r300,0,DB,B,4,0.55788681,0.00216962,0.003450653,2.017899999995354e-05
n65536_q128_r300,0,DB,B,5,0.56750724,0.002464173,0.003699525,2.1313999999938993e-05
n65536_q128_r300,0,DB,B,6,0.558888826,0.002253785,0.003548225,2.096100000004153e-05
n65536_q128_r300,0,DB,B,7,0.559105034,0.00196308,0.003142752,1.7897999999960668e-05
n65536_q128_r300,1,BD,B,0,0.566493515,0.001998053,0.002947196,2.5961000000074286e-05
n65536_q128_r300,1,BD,B,1,0.559882745,0.002383046,0.003354228,2.0521000000051082e-05
n65536_q128_r300,1,BD,B,2,0.556606114,0.002271826,0.003297088,1.959400000006717e-05
n65536_q128_r300,1,BD,B,3,0.559119357,0.002301269,0.003271194,1.8351999999999258e-05
n65536_q128_r300,1,BD,B,4,0.556652957,0.00225827,0.003317241,1.75919999999552e-05
n65536_q128_r300,1,BD,B,5,0.558562766,0.002298436,0.003265046,1.8522999999937007e-05
n65536_q128_r300,1,BD,B,6,0.557932599,0.002221384,0.003201865,1.6452000000000133e-05
n65536_q128_r300,1,BD,B,7,0.558299331,0.002196518,0.003178398,1.7227999999924748e-05
n65536_q128_r300,1,BD,D,0,0.556647307,0.553137751,0.553315847,9.431999999920393e-06
n65536_q128_r300,1,BD,D,1,0.559283518,0.556469923,0.556654528,8.718999999990373e-06
n65536_q128_r300,1,BD,D,2,0.556648425,0.553246323,0.553442839,8.695000000003006e-06
n65536_q128_r300,1,BD,D,3,0.558123252,0.555249184,0.555425085,7.462000000013624e-06
n65536_q128_r300,1,BD,D,4,0.557359419,0.554481612,0.554735408,1.7965999999924875e-05
n65536_q128_r300,1,BD,D,5,0.546511783,0.543690963,0.543858905,7.464000000068083e-06
n65536_q128_r300,1,BD,D,6,0.540291841,0.537392921,0.537612125,6.884000000040302e-06
n65536_q128_r300,1,BD,D,7,0.542305632,0.539392811,0.539553243,6.539999999999324e-06
n65536_q128_r300,2,DB,D,0,0.547881861,0.544321563,0.544480776,8.975999999938367e-06
n65536_q128_r300,2,DB,D,1,0.542793696,0.539945317,0.540141026,8.043000000013123e-06
n65536_q128_r300,2,DB,D,2,0.545228078,0.542424914,0.542587723,7.918999999967369e-06
n65536_q128_r300,2,DB,D,3,0.537098212,0.534311614,0.534579008,7.218000000031033e-06
n65536_q128_r300,2,DB,D,4,0.536489844,0.533989293,0.534222493,1.7876999999999477e-05
n65536_q128_r300,2,DB,D,5,0.536913309,0.534251021,0.534411722,6.469999999980658e-06
n65536_q128_r300,2,DB,D,6,0.532726604,0.529869004,0.530059124,6.09800000006544e-06
n65536_q128_r300,2,DB,D,7,0.534539517,0.531933303,0.53209232,6.476000000033011e-06
n65536_q128_r300,2,DB,B,0,0.551828689,0.002189363,0.003209655,2.32719999999631e-05
n65536_q128_r300,2,DB,B,1,0.558376925,0.002251424,0.003468937,2.1841000000022426e-05
n65536_q128_r300,2,DB,B,2,0.554511661,0.002129553,0.00316973,2.0986000000111638e-05
n65536_q128_r300,2,DB,B,3,0.559232032,0.002244072,0.003439487,2.0950999999991282e-05
n65536_q128_r300,2,DB,B,4,0.558008127,0.002213679,0.003466072,1.843200000006817e-05
n65536_q128_r300,2,DB,B,5,0.550738284,0.002446403,0.003736163,1.9292000000059595e-05
n65536_q128_r300,2,DB,B,6,0.538853676,0.002371946,0.003581428,2.0030000000059722e-05
n65536_q128_r300,2,DB,B,7,0.535512342,0.002240665,0.003523239,1.8375999999986625e-05
n65536_q128_r300,3,BD,B,0,0.528437166,0.002142291,0.003088376,2.447000000005417e-05
n65536_q128_r300,3,BD,B,1,0.534048316,0.002389074,0.003368461,2.0110999999989332e-05
n65536_q128_r300,3,BD,B,2,0.531626321,0.002315333,0.003387503,2.1896000000021232e-05
n65536_q128_r300,3,BD,B,3,0.536437266,0.002702477,0.003713403,3.112299999996626e-05
n65536_q128_r300,3,BD,B,4,0.534116688,0.002459311,0.003471624,2.500599999999409e-05
n65536_q128_r300,3,BD,B,5,0.54350264,0.002325217,0.003396778,2.247800000010347e-05
n65536_q128_r300,3,BD,B,6,0.533201557,0.002379687,0.003385649,2.081400000009115e-05
n65536_q128_r300,3,BD,B,7,0.536188656,0.00239676,0.003423459,1.934699999994738e-05
n65536_q128_r300,3,BD,D,0,0.542126592,0.539199534,0.539389471,9.154000000011209e-06
n65536_q128_r300,3,BD,D,1,0.535101351,0.532298254,0.532457135,7.10100000000935e-06
n65536_q128_r300,3,BD,D,2,0.532378681,0.529566354,0.529729248,6.537999999944866e-06
n65536_q128_r300,3,BD,D,3,0.533944644,0.531362479,0.531554813,6.925999999962684e-06
n65536_q128_r300,3,BD,D,4,0.533452531,0.530690881,0.53091535,1.8265000000017295e-05
n65536_q128_r300,3,BD,D,5,0.534270695,0.531387988,0.531552776,7.356999999985625e-06
n65536_q128_r300,3,BD,D,6,0.532602086,0.529786197,0.529979246,7.899000000088918e-06
n65536_q128_r300,3,BD,D,7,0.534882452,0.531911071,0.532067429,7.862999999885822e-06
n65536_q128_r300,4,DB,D,0,0.535525625,0.532196953,0.532354969,8.651000000026166e-06
n65536_q128_r300,4,DB,D,1,0.534322149,0.531771194,0.531922872,7.096999999900433e-06
n65536_q128_r300,4,DB,D,2,0.532952542,0.530099304,0.530302707,6.398999999990274e-06
n65536_q128_r300,4,DB,D,3,0.534954546,0.531995492,0.532206447,1.6874000000055567e-05
n65536_q128_r300,4,DB,D,4,0.53248659,0.529931677,0.530099609,7.218000000031033e-06
n65536_q128_r300,4,DB,D,5,0.534330115,0.531525348,0.531711244,6.571000000010763e-06
n65536_q128_r300,4,DB,D,6,0.533715429,0.530807258,0.530963525,7.0850000000177715e-06
n65536_q128_r300,4,DB,D,7,0.54221966,0.539334506,0.539490461,6.840999999924158e-06
n65536_q128_r300,4,DB,B,0,0.535120978,0.002385521,0.003299921,2.8786000000002865e-05
n65536_q128_r300,4,DB,B,1,0.543263082,0.002338022,0.003256832,2.293200000003104e-05
n65536_q128_r300,4,DB,B,2,0.533794625,0.002333319,0.003292552,2.3013999999932366e-05
n65536_q128_r300,4,DB,B,3,0.53630811,0.002570969,0.003476165,2.9363999999976187e-05
n65536_q128_r300,4,DB,B,4,0.534238562,0.002282035,0.003176089,2.92509999999524e-05
n65536_q128_r300,4,DB,B,5,0.535723989,0.002628856,0.00351855,3.0713000000015533e-05
n65536_q128_r300,4,DB,B,6,0.533448271,0.002511139,0.003343195,2.5708000000013165e-05
n65536_q128_r300,4,DB,B,7,0.536795187,0.002792481,0.003740307,3.4731999999926266e-05
n65536_q128_r300,5,BD,B,0,0.533012193,0.002412845,0.003403771,2.844200000007291e-05
n65536_q128_r300,5,BD,B,1,0.53690061,0.002436315,0.003429346,2.142199999999317e-05
n65536_q128_r300,5,BD,B,2,0.535077481,0.002439903,0.003332589,2.3095999999944716e-05
n65536_q128_r300,5,BD,B,3,0.535162518,0.002375697,0.00333067,2.345900000000345e-05
n65536_q128_r300,5,BD,B,4,0.534674115,0.002567524,0.00351955,2.391099999998758e-05
n65536_q128_r300,5,BD,B,5,0.535893467,0.0026114,0.003551103,2.2635999999964795e-05
n65536_q128_r300,5,BD,B,6,0.53329009,0.002488534,0.003446342,2.28880000000542e-05
n65536_q128_r300,5,BD,B,7,0.536367313,0.002444642,0.003378642,2.101899999995549e-05
n65536_q128_r300,5,BD,D,0,0.556263685,0.552398679,0.552589887,1.1662000000023376e-05
n65536_q128_r300,5,BD,D,1,0.557929719,0.555410235,0.555569158,8.763999999938932e-06
n65536_q128_r300,5,BD,D,2,0.555091185,0.552047025,0.55223895,7.780000000012777e-06
n65536_q128_r300,5,BD,D,3,0.558186862,0.555085657,0.555246148,8.508000000073679e-06
n65536_q128_r300,5,BD,D,4,0.556523139,0.553464692,0.553708162,1.8875999999945492e-05
n65536_q128_r300,5,BD,D,5,0.557622049,0.554432681,0.554606112,9.818999999966493e-06
