case,pair,order,policy,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
n65536_q32_r300,1,BD,B,7,stage.candidates,1,0.000484832,0.000121677,0.0032041663467723487
n65536_q32_r300,1,BD,B,7,stage.cleanup,1,0.000712869,0.000711896,0.004711221329155785
n65536_q32_r300,1,BD,B,7,stage.delivery,1,7.699e-05,5.5801e-05,0.0005088128816538578
n65536_q32_r300,1,BD,B,7,stage.leaf_distance,1,0.129118054,2.8158e-05,0.8533176922883285
n65536_q32_r300,1,BD,B,7,stage.node_distance_prune,4,0.010991309,7.7509e-05,0.07263955845483804
n65536_q32_r300,1,BD,B,7,stage.schedule,10,0.000558036,0.000347666,0.00368795824427318
n65536_q32_r300,1,BD,D,0,stage.aggregate,1,0.008713439,0.008673175,0.057951971695376504
n65536_q32_r300,1,BD,D,0,stage.alloc_init,1,0.000634712,0.000634437,0.004221388576739426
n65536_q32_r300,1,BD,D,0,stage.candidates,1,0.000149727,0.000149423,0.000995815184571056
n65536_q32_r300,1,BD,D,0,stage.cleanup,1,0.000264689,0.000264386,0.0017604127871988905
n65536_q32_r300,1,BD,D,0,stage.delivery,1,2.3307e-05,2.3023e-05,0.00015501188500936772
n65536_q32_r300,1,BD,D,0,stage.leaf_distance,1,0.129115917,0.129067951,0.8587334997590024
n65536_q32_r300,1,BD,D,0,stage.node_distance_prune,4,0.011186486,0.011176626,0.07439989194194457
n65536_q32_r300,1,BD,D,0,stage.schedule,10,0.00025994,0.000257117,0.0017288277937673251
n65536_q32_r300,1,BD,D,1,stage.aggregate,1,0.008713359,0.008713252,0.056318663659517425
n65536_q32_r300,1,BD,D,1,stage.alloc_init,1,0.000623129,0.000622784,0.004027584834676436
n65536_q32_r300,1,BD,D,1,stage.candidates,1,0.000130606,0.000130327,0.000844169898877681
n65536_q32_r300,1,BD,D,1,stage.cleanup,1,0.000274083,0.000273808,0.0017715313109205662
n65536_q32_r300,1,BD,D,1,stage.delivery,1,2.1718e-05,2.1433e-05,0.0001403739634000389
n65536_q32_r300,1,BD,D,1,stage.leaf_distance,1,0.129143653,0.129112272,0.8347180412362705
n65536_q32_r300,1,BD,D,1,stage.node_distance_prune,4,0.011363366,0.011362404,0.07344694368658469
n65536_q32_r300,1,BD,D,1,stage.schedule,10,0.004438705,0.001834567,0.028689502404161047
n65536_q32_r300,1,BD,D,2,stage.aggregate,1,0.008718842,0.008718671,0.0577905050726487
n65536_q32_r300,1,BD,D,2,stage.alloc_init,1,0.00062904,0.000628706,0.004169422878737674
n65536_q32_r300,1,BD,D,2,stage.candidates,1,0.000455299,0.000455053,0.0030178272721391075
n65536_q32_r300,1,BD,D,2,stage.cleanup,1,0.00027529,0.000274988,0.0018246859091436065
n65536_q32_r300,1,BD,D,2,stage.delivery,1,2.7345e-05,2.706e-05,0.00018124899627858593
n65536_q32_r300,1,BD,D,2,stage.leaf_distance,1,0.129146015,0.129056778,0.8560097126395759
n65536_q32_r300,1,BD,D,2,stage.node_distance_prune,4,0.011339776,0.011331077,0.07516266293742907
n65536_q32_r300,1,BD,D,2,stage.schedule,10,0.000271201,0.000268353,0.0017975830696561998
n65536_q32_r300,1,BD,D,3,stage.aggregate,1,0.008709247,0.008709096,0.05613766516890544
n65536_q32_r300,1,BD,D,3,stage.alloc_init,1,0.000620705,0.00062037,0.004000911842167922
n65536_q32_r300,1,BD,D,3,stage.candidates,1,0.000486674,0.000486262,0.003136980964991794
n65536_q32_r300,1,BD,D,3,stage.cleanup,1,0.000244573,0.000244262,0.0015764574346501725
n65536_q32_r300,1,BD,D,3,stage.delivery,1,2.2017e-05,2.1725e-05,0.0001419161695636593
n65536_q32_r300,1,BD,D,3,stage.leaf_distance,1,0.129059193,0.128940588,0.8318838314728179
n65536_q32_r300,1,BD,D,3,stage.node_distance_prune,4,0.011328942,0.011320715,0.07302357513961309
n65536_q32_r300,1,BD,D,3,stage.schedule,10,0.004661545,0.001891141,0.030047173122978978
n65536_q32_r300,1,BD,D,4,stage.aggregate,1,0.008713488,0.008713327,0.05740206417672264
n65536_q32_r300,1,BD,D,4,stage.alloc_init,1,0.000627426,0.000627167,0.004133310049677509
n65536_q32_r300,1,BD,D,4,stage.candidates,1,0.000511388,0.000511007,0.0033688835969253456
n65536_q32_r300,1,BD,D,4,stage.cleanup,1,0.000248455,0.00024815,0.001636753255989751
n65536_q32_r300,1,BD,D,4,stage.delivery,1,1.8217e-05,1.7944e-05,0.00012000858933957976
n65536_q32_r300,1,BD,D,4,stage.leaf_distance,1,0.129113091,0.129082971,0.8505615587738263
n65536_q32_r300,1,BD,D,4,stage.node_distance_prune,4,0.011550847,0.011543134,0.07609380546452857
n65536_q32_r300,1,BD,D,4,stage.schedule,10,0.001008777,0.000303009,0.006645545629259113
n65536_q32_r300,1,BD,D,5,stage.aggregate,1,0.00871148,0.008672627,0.056590269140728885
n65536_q32_r300,1,BD,D,5,stage.alloc_init,1,0.000633744,0.000633437,0.004116837038749109
n65536_q32_r300,1,BD,D,5,stage.candidates,1,8.8007e-05,8.7737e-05,0.0005716984733097162
n65536_q32_r300,1,BD,D,5,stage.cleanup,1,0.000264574,0.0002643,0.001718687739355334
n65536_q32_r300,1,BD,D,5,stage.delivery,1,2.3257e-05,2.2979e-05,0.00015107879366145954
n65536_q32_r300,1,BD,D,5,stage.leaf_distance,1,0.129098276,0.129052673,0.8386297373631232
n65536_q32_r300,1,BD,D,5,stage.node_distance_prune,4,0.011349143,0.011348229,0.07372467788327806
n65536_q32_r300,1,BD,D,5,stage.schedule,10,0.003764993,0.001672439,0.02445760848707226
n65536_q32_r300,1,BD,D,6,stage.aggregate,1,0.008711725,0.008711547,0.058035721274650426
n65536_q32_r300,1,BD,D,6,stage.alloc_init,1,0.0006298,0.000629473,0.004195598146035927
n65536_q32_r300,1,BD,D,6,stage.candidates,1,0.000524804,0.000524523,0.0034961363757260067
n65536_q32_r300,1,BD,D,6,stage.cleanup,1,0.000236715,0.00023639,0.0015769466737676954
n65536_q32_r300,1,BD,D,6,stage.delivery,1,2.1045e-05,2.0767e-05,0.00014019746424789788
n65536_q32_r300,1,BD,D,6,stage.leaf_distance,1,0.129150722,0.129026001,0.8603755633255025
n65536_q32_r300,1,BD,D,6,stage.node_distance_prune,4,0.009863699,0.009849692,0.0657099352770029
n65536_q32_r300,1,BD,D,6,stage.schedule,10,0.000964906,0.000275198,0.006428005437756339
n65536_q32_r300,1,BD,D,7,stage.aggregate,1,0.008711263,0.0087111,0.0564761577839806
n65536_q32_r300,1,BD,D,7,stage.alloc_init,1,0.000632311,0.000632035,0.00409934768408973
n65536_q32_r300,1,BD,D,7,stage.candidates,1,0.000519886,0.000519608,0.003370482990317539
n65536_q32_r300,1,BD,D,7,stage.cleanup,1,0.000234625,0.000234307,0.0015211018792644015
n65536_q32_r300,1,BD,D,7,stage.delivery,1,2.1928e-05,2.1624e-05,0.0001421618412722847
n65536_q32_r300,1,BD,D,7,stage.leaf_distance,1,0.129036087,0.128908384,0.8365563534517839
n65536_q32_r300,1,BD,D,7,stage.node_distance_prune,4,0.011332351,0.011331432,0.07346898413461403
n65536_q32_r300,1,BD,D,7,stage.schedule,10,0.003752724,0.001660133,0.02432935760793019
n65536_q32_r300,2,DB,D,0,stage.aggregate,1,0.008718047,0.008717911,0.05781828717570311
n65536_q32_r300,2,DB,D,0,stage.alloc_init,1,0.000634056,0.000633788,0.004205073899404031
n65536_q32_r300,2,DB,D,0,stage.candidates,1,0.000128751,0.000128479,0.0008538795778640504
n65536_q32_r300,2,DB,D,0,stage.cleanup,1,0.000241436,0.000241131,0.0016012090761328836
