run,scope,kernel,function,calls,gpu_ms,blocks,threads,registers
nsys_buffer_delete,cub::DeviceReduce::Reduce,DeviceReduceSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::CUB_300104_SM_1200::detail::reduce::policy_hub<int, unsigned int, cuda::std::__4::plus<int>>::Policy1000, int *, int *, unsigned int, cuda::std::__4::plus<int>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)",2,0.0023680000000000003,[1],[256],[30]
nsys_buffer_delete,index.total,getPivotDis,"getPivotDis(float *, char *, int *, TN *, int *, double *, int *, int, int *, int *)",2,2.453719,"[1, 10]",[512],[39]
nsys_buffer_delete,index.total,initIndexData,"initIndexData(int *, TN *, int *, int *, int *)",1,0.55939,[4],[512],[16]
nsys_buffer_delete,index.total,nodeSplit,"nodeSplit(TN *, int *, double *, int *, int, int *, float *, int *, int *, char *, int *, float *)",2,1.99628,"[1, 10]",[512],[40]
nsys_buffer_delete,op.delete,mergeInResult,"mergeInResult(int, int *, int *, int *, int *)",1,0.00096,[1],[512],[18]
nsys_buffer_delete,thrust::inclusive_scan,DeviceScanInitKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanInitKernel<cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>>(T1, int)",2,0.0017599999999999998,[1],[128],[16]
nsys_buffer_delete,thrust::inclusive_scan,DeviceScanKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanKernel<cub::CUB_300104_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, int *, int *, cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_300104_SM_1200::NullType, unsigned int, int, (bool)0, cub::CUB_300104_SM_1200::NullType>(T2, T3, T4, int, T5, T6, T7)",2,1.784346,[1],[384],[64]
nsys_buffer_query,cub::DeviceRadixSort,DeviceRadixSortSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::CUB_300104_SM_1200::detail::radix::policy_hub<double, int, unsigned long long>::Policy1000, (cub::CUB_300104_SM_1200::SortOrder)0, double, int, unsigned long long, cub::CUB_300104_SM_1200::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)",2,0.037248,[1],[256],[123]
nsys_buffer_query,cub::DeviceReduce::Reduce,DeviceReduceSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::CUB_300104_SM_1200::detail::reduce::policy_hub<int, unsigned int, cuda::std::__4::plus<int>>::Policy1000, int *, int *, unsigned int, cuda::std::__4::plus<int>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)",2,0.0024000000000000002,[1],[256],[30]
nsys_buffer_query,index.total,getPivotDis,"getPivotDis(float *, char *, int *, TN *, int *, double *, int *, int, int *, int *)",2,2.509207,"[1, 10]",[512],[39]
nsys_buffer_query,index.total,initIndexData,"initIndexData(int *, TN *, int *, int *, int *)",1,0.474398,[4],[512],[16]
nsys_buffer_query,index.total,nodeSplit,"nodeSplit(TN *, int *, double *, int *, int, int *, float *, int *, int *, char *, int *, float *)",2,1.994457,"[1, 10]",[512],[40]
nsys_buffer_query,op.query,mergeTotalResult,"mergeTotalResult(int, int *, int *, int *, float *, Object, float *, int *, int)",1,0.073504,[1],[512],[34]
nsys_buffer_query,query.buffer_scan,check,"check(int *, float *, float, int)",1,0.001056,[1],[512],[26]
nsys_buffer_query,query.buffer_scan,getRnn,"getRnn(int *, Object, Object, int)",1,0.042656,[1],[512],[28]
nsys_buffer_query,query.buffer_scan,searchD,"searchD(int *, float *, int, Object, int, int *)",1,0.117759,[1],[512],[36]
nsys_buffer_query,thrust::inclusive_scan,DeviceScanInitKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanInitKernel<cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>>(T1, int)",1,0.000832,[1],[128],[16]
nsys_buffer_query,thrust::inclusive_scan,DeviceScanKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanKernel<cub::CUB_300104_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, int *, int *, cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_300104_SM_1200::NullType, unsigned int, int, (bool)0, cub::CUB_300104_SM_1200::NullType>(T2, T3, T4, int, T5, T6, T7)",1,0.059552,[1],[384],[64]
nsys_buffer_query,update.query,collectLeafNodesSingleQuery,"collectLeafNodesSingleQuery(int *, int *, int *, int *, int *, int, int *)",1,0.988157,[1],[512],[28]
nsys_buffer_query,update.query,compactResultSingleQuery,"compactResultSingleQuery(int, int *, int *, float *, int *, int *, float *)",1,0.075968,[4],[512],[26]
nsys_buffer_query,update.query,findNextRnn,"findNextRnn(int *, int, TN *, float, float *, int *, int, int *, int *, int *, char *, int *, int, float *, int *)",2,1.081468,[1],[512],[40]
nsys_buffer_query,update.query,initQnode,"initQnode(int *, int, int *)",1,0.756317,[1],[512],[17]
nsys_buffer_query,update.query,initRes,"initRes(int *, int)",1,0.000864,[4],[512],[16]
nsys_buffer_query,update.query,leafProcessRnnUpdate,"leafProcessRnnUpdate(int *, TN *, int *, int *, float *, int *, int *, float *, int *, float, int *, int *, char *, int *, int *)",1,0.112928,[77],[512],[40]
nsys_buffer_query,update.query,updatePnodeFlag,"updatePnodeFlag(int *, int, int, int *, int *)",2,0.0026880000000000003,[1],[512],[20]
nsys_direct_delete,cub::DeviceRadixSort,DeviceRadixSortSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::CUB_300104_SM_1200::detail::radix::policy_hub<double, int, unsigned long long>::Policy1000, (cub::CUB_300104_SM_1200::SortOrder)0, double, int, unsigned long long, cub::CUB_300104_SM_1200::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)",2,0.036831,[1],[256],[123]
nsys_direct_delete,cub::DeviceReduce::Reduce,DeviceReduceSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::CUB_300104_SM_1200::detail::reduce::policy_hub<int, unsigned int, cuda::std::__4::plus<int>>::Policy1000, int *, int *, unsigned int, cuda::std::__4::plus<int>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)",2,0.0023680000000000003,[1],[256],[30]
nsys_direct_delete,index.total,getPivotDis,"getPivotDis(float *, char *, int *, TN *, int *, double *, int *, int, int *, int *)",2,2.4126950000000003,"[1, 10]",[512],[39]
nsys_direct_delete,index.total,initIndexData,"initIndexData(int *, TN *, int *, int *, int *)",1,0.60243,[4],[512],[16]
nsys_direct_delete,index.total,nodeSplit,"nodeSplit(TN *, int *, double *, int *, int, int *, float *, int *, int *, char *, int *, float *)",2,1.9913210000000001,"[1, 10]",[512],[40]
nsys_direct_delete,op.query,mergeTotalResult,"mergeTotalResult(int, int *, int *, int *, float *, Object, float *, int *, int)",1,0.07712,[1],[512],[34]
nsys_direct_delete,thrust::inclusive_scan,DeviceScanInitKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanInitKernel<cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>>(T1, int)",1,0.000864,[1],[128],[16]
nsys_direct_delete,thrust::inclusive_scan,DeviceScanKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanKernel<cub::CUB_300104_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, int *, int *, cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_300104_SM_1200::NullType, unsigned int, int, (bool)0, cub::CUB_300104_SM_1200::NullType>(T2, T3, T4, int, T5, T6, T7)",1,0.884893,[1],[384],[64]
nsys_direct_delete,update.query,collectLeafNodesSingleQuery,"collectLeafNodesSingleQuery(int *, int *, int *, int *, int *, int, int *)",1,0.991805,[1],[512],[28]
nsys_direct_delete,update.query,compactResultSingleQuery,"compactResultSingleQuery(int, int *, int *, float *, int *, int *, float *)",1,0.075615,[4],[512],[26]
nsys_direct_delete,update.query,findNextRnn,"findNextRnn(int *, int, TN *, float, float *, int *, int, int *, int *, int *, char *, int *, int, float *, int *)",2,1.0820759999999998,[1],[512],[40]
nsys_direct_delete,update.query,initQnode,"initQnode(int *, int, int *)",1,0.845437,[1],[512],[17]
nsys_direct_delete,update.query,initRes,"initRes(int *, int)",1,0.000896,[4],[512],[16]
nsys_direct_delete,update.query,leafProcessRnnUpdate,"leafProcessRnnUpdate(int *, TN *, int *, int *, float *, int *, int *, float *, int *, float, int *, int *, char *, int *, int *)",1,0.121823,[77],[512],[40]
nsys_direct_delete,update.query,updatePnodeFlag,"updatePnodeFlag(int *, int, int, int *, int *)",2,0.002656,[1],[512],[20]
nsys_direct_insert,cub::DeviceRadixSort,DeviceRadixSortSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::CUB_300104_SM_1200::detail::radix::policy_hub<double, int, unsigned long long>::Policy1000, (cub::CUB_300104_SM_1200::SortOrder)0, double, int, unsigned long long, cub::CUB_300104_SM_1200::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)",2,0.036896,[1],[256],[123]
nsys_direct_insert,cub::DeviceReduce::Reduce,DeviceReduceSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::CUB_300104_SM_1200::detail::reduce::policy_hub<int, unsigned int, cuda::std::__4::plus<int>>::Policy1000, int *, int *, unsigned int, cuda::std::__4::plus<int>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)",2,0.0023680000000000003,[1],[256],[30]
