q,radius,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,300,0,AB,B,5,stage.aggregate,1,7.687e-05,7.6536e-05,0.029431550300307485
32,300,0,AB,B,5,stage.alloc_init,1,0.000659703,0.000659338,0.2525833488716502
32,300,0,AB,B,5,stage.candidates,1,8.8033e-05,8.7673e-05,0.033705576526433835
32,300,0,AB,B,5,stage.cleanup,1,0.000273592,0.00027324,0.10475135566230943
32,300,0,AB,B,5,stage.delivery,1,2.4098e-05,2.3733e-05,0.009226505777765185
32,300,0,AB,B,5,stage.leaf_distance,1,0.001001299,0.001000765,0.38337169096068147
32,300,0,AB,B,5,stage.node_distance_prune,4,0.000347152,0.000345771,0.13291559190649596
32,300,0,AB,B,5,stage.schedule,10,0.000137134,0.000133723,0.05250508935712718
32,300,0,AB,B,6,stage.aggregate,1,7.614e-05,7.5795e-05,0.029311040414897124
32,300,0,AB,B,6,stage.alloc_init,1,0.00066175,0.000661315,0.25474889669763817
32,300,0,AB,B,6,stage.candidates,1,8.2529e-05,8.2155e-05,0.03177056546363337
32,300,0,AB,B,6,stage.cleanup,1,0.000277209,0.000276851,0.10671505387934353
32,300,0,AB,B,6,stage.delivery,1,2.598e-05,2.5605e-05,0.01000132427080414
32,300,0,AB,B,6,stage.leaf_distance,1,0.000985675,0.000985335,0.37944785606716214
32,300,0,AB,B,6,stage.node_distance_prune,4,0.000348938,0.00034755,0.13432802495788512
32,300,0,AB,B,6,stage.schedule,10,0.000135125,0.000131648,0.052018050119030386
32,300,0,AB,B,7,stage.aggregate,1,7.5559e-05,7.5158e-05,0.028137057136186125
32,300,0,AB,B,7,stage.alloc_init,1,0.000661326,0.00066085,0.24626804811664296
32,300,0,AB,B,7,stage.candidates,1,8.7691e-05,8.7336e-05,0.03265483499423361
32,300,0,AB,B,7,stage.cleanup,1,0.000323456,0.000323089,0.12045024355857303
32,300,0,AB,B,7,stage.delivery,1,2.6895e-05,2.652e-05,0.010015301309939596
32,300,0,AB,B,7,stage.leaf_distance,1,0.00099513,0.000994739,0.3705717342465213
32,300,0,AB,B,7,stage.node_distance_prune,4,0.000354186,0.000352582,0.13189364230385817
32,300,0,AB,B,7,stage.schedule,10,0.000155283,0.000151638,0.057825098840355096
32,300,1,BA,B,0,stage.aggregate,1,7.5589e-05,7.5313e-05,0.029994361350529956
32,300,1,BA,B,0,stage.alloc_init,1,0.000662198,0.000661868,0.2627658270065517
32,300,1,BA,B,0,stage.candidates,1,7.972e-05,7.9391e-05,0.031633577463179144
32,300,1,BA,B,0,stage.cleanup,1,0.000223649,0.000223371,0.08874583499827586
32,300,1,BA,B,0,stage.delivery,1,2.2668e-05,2.237e-05,0.008994856170789572
32,300,1,BA,B,0,stage.leaf_distance,1,0.000985604,0.000984707,0.39109609234845977
32,300,1,BA,B,0,stage.node_distance_prune,4,0.000335339,0.000334209,0.13306538174767973
32,300,1,BA,B,0,stage.schedule,10,0.000129728,0.000126955,0.05147717934198825
32,300,1,BA,B,1,stage.aggregate,1,7.5294e-05,7.5016e-05,0.030191133524813032
32,300,1,BA,B,1,stage.alloc_init,1,0.000651561,0.000651241,0.2612607266257697
32,300,1,BA,B,1,stage.candidates,1,8.0802e-05,7.9967e-05,0.032399712740350396
32,300,1,BA,B,1,stage.cleanup,1,0.000219808,0.000219514,0.08813786859274449
32,300,1,BA,B,1,stage.delivery,1,2.1191e-05,2.0905e-05,0.008497095525862792
32,300,1,BA,B,1,stage.leaf_distance,1,0.00098063,0.000980382,0.3932097015490929
32,300,1,BA,B,1,stage.node_distance_prune,4,0.000332404,0.000331301,0.13328623194652897
32,300,1,BA,B,1,stage.schedule,10,0.000128165,0.000125404,0.05139116832958353
32,300,1,BA,B,2,stage.aggregate,1,7.5681e-05,7.5375e-05,0.03047034756592729
32,300,1,BA,B,2,stage.alloc_init,1,0.000657938,0.000657669,0.2648960708345697
32,300,1,BA,B,2,stage.candidates,1,7.9094e-05,7.881e-05,0.03184447444377655
32,300,1,BA,B,2,stage.cleanup,1,0.000219594,0.000219297,0.08841195945339303
32,300,1,BA,B,2,stage.delivery,1,2.0947e-05,2.067e-05,0.008433587960828728
32,300,1,BA,B,2,stage.leaf_distance,1,0.000979838,0.000979425,0.3944980169171003
32,300,1,BA,B,2,stage.node_distance_prune,4,0.000333446,0.000332323,0.13425054524211086
