variant,metric,unit,value
A,l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__texin_sm2tex_req_cycles_active.max.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__texin_sm2tex_req_cycles_active.min.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__texin_sm2tex_req_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__throughput.avg.pct_of_peak_sustained_active,%,61.82
A,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,%,0.31
A,l1tex__throughput.max.pct_of_peak_sustained_active,%,11621.50
A,l1tex__throughput.max.pct_of_peak_sustained_elapsed,%,59.01
A,l1tex__throughput.min.pct_of_peak_sustained_active,%,0.01
A,l1tex__throughput.min.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__throughput.sum.pct_of_peak_sustained_active,%,61.82
A,l1tex__throughput.sum.pct_of_peak_sustained_elapsed,%,0.31
A,l1tex__tmain_requests.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tmain_requests.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tmain_requests.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tmain_requests.sum.pct_of_peak_sustained_elapsed,%,0
A,launch__barrier_count,,0
A,launch__block_dim_x,block,512
A,launch__block_dim_y,block,1
A,launch__block_dim_z,block,1
A,launch__block_size,,512
A,launch__cluster_dim_x,,0
A,launch__cluster_dim_y,,0
A,launch__cluster_dim_z,,0
A,launch__cluster_max_active,cluster,0
A,launch__cluster_max_potential_size,block,8
A,launch__cluster_scheduling_policy,,PolicySpread
A,launch__cluster_size,,0
A,launch__execution_model,,SIMT
A,launch__func_cache_config,,CachePreferNone
A,launch__grid_dim_x,,1
A,launch__grid_dim_y,,1
A,launch__grid_dim_z,,1
A,launch__grid_size,,1
A,launch__kernel_name,,
A,launch__occupancy_cluster_gpu_pct,%,0
A,launch__occupancy_cluster_pct,%,0
A,launch__occupancy_limit_barriers,block,24
A,launch__occupancy_limit_blocks,block,24
A,launch__occupancy_limit_registers,block,5
A,launch__occupancy_limit_shared_mem,block,8
A,launch__occupancy_limit_warps,block,3
A,launch__occupancy_per_barrier_count,,752
A,launch__occupancy_per_block_size,,2338
A,launch__occupancy_per_cluster_size,,0
A,launch__occupancy_per_register_count,,3760
A,launch__occupancy_per_shared_mem_size,,1792
A,launch__persisting_l2_cache_size,byte,25165824
A,launch__preferred_cluster_dim_x,,0
A,launch__preferred_cluster_dim_y,,0
A,launch__preferred_cluster_dim_z,,0
A,launch__preferred_cluster_size,,0
A,launch__registers_per_thread,register/thread,24
A,launch__registers_per_thread_allocated,register/thread,24
A,launch__shared_mem_config_size,byte,8192
A,launch__shared_mem_per_block,byte/block,1024
A,launch__shared_mem_per_block_allocated,byte/block,1024
A,launch__shared_mem_per_block_driver,byte/block,1024
A,launch__shared_mem_per_block_dynamic,byte/block,0
A,launch__shared_mem_per_block_static,byte/block,0
A,launch__sm_count,SM,188
A,launch__stack_size,,95056
A,launch__thread_count,thread,512
A,launch__tpc_count,,94
A,launch__tpc_enabled,,all
A,launch__user_grid_dim_x,,1
A,launch__user_grid_dim_y,,1
A,launch__user_grid_dim_z,,1
A,launch__user_grid_size,,1
A,launch__uses_blocks_as_clusters,,0
A,launch__uses_cdp,,0
A,launch__uses_green_context,,0
A,launch__uses_mps,,0
A,launch__uses_vgpu,,0
A,launch__waves_per_multiprocessor,,0.00
A,lts__cycles_active.avg,cycle,1712522.34
A,lts__cycles_active.max,cycle,1720729
A,lts__cycles_active.min,cycle,1700389
A,lts__cycles_active.sum,cycle,109601430
